"Cod.Municipio","lon","lat"
20001,-73.2436335,10.4742449
20011,-73.611665,8.305925
20013,-73.237105,10.034716
20032,-73.976122,9.496125
20045,-73.278795,9.703677
20060,-73.890531,9.970362
20175,-73.812877,9.2571429
20178,-73.5997,9.361464
20228,-73.5425659,9.201062
20238,-73.960233,10.148976
20250,-73.74643,9.661436
20295,-73.743937,8.319316
20310,-73.380115,8.390105
20383,-73.802042,8.617977
20400,-73.3384471,9.5608923
20443,-73.027245,10.3900406
20517,-73.626268,8.959667
20550,-73.666377,8.688031
20570,-73.5913999,10.40873
20614,-73.387468,8.294267
20621,-73.0405277,10.2973955
20710,-73.393617,7.761063
20750,-73.180718,10.333974
20770,-73.512792,8.004107
20787,-73.810756,8.861748
23001,-75.8785348,8.750983
23068,-75.140264,8.3092849
23079,-75.482981,8.222953
23090,-76.240381,8.788161
23162,-75.789633,8.888785
23168,-75.628032,9.149379
23182,-75.401527,9.105964
23189,-75.621332,8.879215
23300,-75.790511,9.039263
23350,-75.334101,8.048049
23417,-75.8136245,9.2376398
23419,-76.35459,8.89508
23464,-75.6767349,9.239504
23466,-75.417209,7.976803
23500,-76.130784,9.246772
23555,-75.584048,8.412749
23570,-75.507409,8.50502
23574,-76.261398,9.008341
23580,-75.670944,7.887952
23586,-75.723394,9.236872
23660,-75.446001,8.950643
23670,-75.509017,9.146743
23672,-75.758517,9.374642
23675,-75.9535815,9.3525858
23678,-75.698571,8.797145
23686,-75.8369139,8.9594419
23807,-76.062313,8.171571
23855,-76.147936,8.2567869
25001,-74.6698,4.376688
25019,-74.437772,4.876248
25035,-74.535235,4.548942
25040,-74.464018,4.761738
25053,-74.416014,4.272793
25095,-74.53982,4.87282
25099,-74.341776,4.732618
25126,-74.024773,4.917531
25148,-74.49081,5.345645
25151,-73.946686,4.4056369
25175,-74.0325368,4.8615787
25178,-74.045,4.4431839
25181,-73.922968,4.528659
25183,-73.685875,5.1473639
25214,-74.103121,4.809271
25245,-74.94942,4.58473
25260,-74.264824,4.85225
25269,-74.354009,4.809984
25279,-73.895359,4.486748
25286,-74.21225,4.717029
25290,-74.361823,4.345152
25293,-73.51997,4.693039
25299,-73.610321,4.762033
25307,-74.8031414,4.3045959
25312,-74.356481,4.524233
25317,-73.686939,5.383675
25320,-74.595361,5.067291
25322,-73.877402,4.867236
25324,-74.790311,4.517444
25326,-73.833644,4.934487
25328,-74.467283,4.878323
25335,-73.81476,4.2157
25368,-74.693204,4.563292
25372,-73.663027,4.791028
25377,-73.968631,4.720521
25386,-74.463014,4.632147
25394,-74.390683,5.358433
25398,-74.3932009,5.2006078
25402,-74.339439,5.000528
25426,-73.608052,5.081006
25430,-74.2627569,4.733779
25436,-73.539987,5.009444
25438,-73.349853,4.508399
25473,-74.230101,4.706035
25486,-73.880696,5.066969
25488,-74.619935,4.307339
25489,-74.38555,5.12645
25491,-74.380305,5.069435
25506,-74.4778879,4.088952
25513,-74.152868,5.137918
25524,-74.486751,4.19065
25530,-73.209608,4.376587
25535,-74.299995,4.308498
25572,-74.652693,5.467414
25580,-74.713599,4.6825979
25594,-73.863183,4.32998
25596,-74.56211,4.74257
25599,-74.593706,4.521302
25645,-74.3521491,4.6162489
25658,-74.291386,4.974252
25718,-74.434042,4.963945
25736,-73.796925,5.045268
25740,-74.259334,4.485011
25743,-74.396782,4.39078
25745,-73.851971,5.503838
25754,-74.2117465,4.5827227
25758,-73.9410709,4.908732
25769,-74.172465,4.929001
25772,-73.798632,5.103929
25781,-73.852667,5.247295
25785,-74.096358,4.916962
25793,-73.8865409,5.196182
25797,-74.389576,4.655623
25799,-74.145663,4.871884
25805,-74.45254,4.347837
25815,-74.633923,4.457055
25817,-73.9108229,4.965002
25839,-73.534989,4.743647
25841,-73.93468,4.482842
25843,-73.8154394,5.3098221
25845,-74.025384,4.402585
25862,-74.344953,5.118232
25873,-73.5946249,5.215209
25875,-74.470362,5.011706
25878,-74.522394,4.438829
25885,-74.338524,5.460014
25898,-74.380049,4.759634
25899,-73.990955,5.021476
27001,-76.649812,5.695633
