"NAME_2","ID_2","Cod.Municipio"
"Filadelfia",353,17272
"La Dorada",354,17380
"La Merced",355,17388
"Manizales",356,17001
"Manzanares",357,17433
"Marmato",358,17442
"Marquetalia",359,17444
"Marulanda",360,17446
"Neira",361,17486
"Pácora",362,17513
"Palestina",363,17524
"Pensilvania",364,17541
"Riosucio",365,17614
"Risaralda",366,17616
"Salamina",367,17653
"Samaná",368,17662
"Supía",369,17777
"Victoria",370,17867
"Villamaría",371,17873
"Viterbo",372,17877
"Albania",373,18029
"Belén de los Andaquies",374,NA
"Cartagena del Chairá",375,18150
"Curillo",376,18205
"El Doncello",377,18247
"El Paujíl",378,18256
"Florencia",379,18001
"La Montañita",380,18410
"Milán",381,18460
"Morelia",382,18479
"Puerto Rico",383,18592
"San José del Fragua",384,18610
"San Vicente del Caguán",385,18753
"Solano",386,18756
"Valparaíso",387,5856
"Aguazul",388,85010
"Chámeza",389,85015
"Hato Corozal",390,85125
"La Salina",391,85136
"Maní",392,85139
"Monterrey",393,85162
"Nunchía",394,85225
"Orocué",395,85230
"Paz de Ariporo",396,85250
"Pore",397,85263
"Recetor",398,85279
"Sácama",399,85315
"Sabanalarga",400,5628
"San Luis de Palenque",401,85325
"Támara",402,85400
"Tauramena",403,85410
"Trinidad",404,85430
"Villanueva",405,13873
"Yopal",406,85001
"Almaguer",407,19022
"Argelia",408,5055
"Balboa",409,19075
"Bolívar",410,19100
"Buenos Aires",411,19110
"Cajibío",412,19130
"Caldonó",413,NA
"Caloto",414,19142
"Corinto",415,19212
"El Tambo",416,19256
"Florencia",417,18001
"Guapí",418,19318
"Inzá",419,19355
"Jambaló",420,19364
"La Sierra",421,19392
"La Vega",422,19397
"López de Micay",423,19418
"Mercaderes",424,19450
"Miranda",425,19455
"Morales",426,13473
"Páez",427,15514
"Padilla",428,19513
"Patía",429,19532
"Piendamó",430,19548
"Popayán",431,19001
"Puerto Tejada",432,19573
"Puracé",433,19585
"Rosas",434,19622
"San Sebastián",435,19693
"Santa Rosa",436,13683
"Santander de Quilichao",437,19698
"Silvia",438,19743
"Sotará",439,NA
"Suárez",440,19780
"Timbío",441,19807
"Timbiquí",442,19809
"Toribío",443,19821
"Totoró",444,19824
"Aguachica",445,20011
"Agustín Codazzi",446,20013
"Astrea",447,20032
"Becerril",448,20045
"Bosconia",449,20060
"Chimichagua",450,20175
"Chiriguaná",451,20178
"Curumaní",452,20228
"El Copey",453,20238
"El Paso",454,20250
"Gamarra",455,20295
"González",456,20310
"La Gloria",457,20383
"La Jagua de Ibirico",458,20400
"La Paz",459,20621
"Manaure",460,44560
"Pailitas",461,20517
"Pelaya",462,20550
"Río de Oro",463,20614
"San Alberto",464,20710
"San Diego",465,20750
"San Martín",466,20770
"Tamalameque",467,20787
"Valledupar",468,20001
"Acandí",469,27006
"Alto Baudó",470,27025
"Bagadó",471,27073
"Bahía Solano",472,27075
"Bajo Baudó",473,27077
"Bojayá",474,27099
"Condoto",475,27205
"El Cantón del San Pablo",476,27135
"El Carmen de Atrato",477,27245
"El Litoral del San Juan",478,27250
"Istmina",479,27361
"Juradó",480,27372
"Lloró",481,27413
"Novita",482,NA
"Nuquí",483,27495
"Quibdó",484,27001
"Riosucio",485,17614
"San José del Palmar",486,27660
"Sipí",487,27745
"Tadó",488,27787
"Unguía",489,27800
"Agua de Dios",490,25001
"Albán",491,25019
"Anapoima",492,25035
"Anolaima",493,25040
"Apulo",494,25599
"Arbeláez",495,25053
"Beltrán",496,25086
"Bituima",497,25095
"Bojacá",498,25099
"Cáqueza",499,25151
"Cabrera",500,25120
"Cachipay",501,25123
"Cajicá",502,25126
"Caparrapí",503,25148
"Carmen de Carupa",504,25154
"Chía",505,25175
"Chaguaní",506,25168
"Chipaque",507,25178
"Choachí",508,25181
"Chocontá",509,25183
"Cogua",510,25200
"Cota",511,25214
"Cucunubá",512,25224
"El Colegio",513,25245
"El Peñon",514,NA
"Fómeque",515,25279
"Facatativá",516,25269
"Fúquene",517,25288
"Fosca",518,25281
"Funza",519,25286
"Fusagasugá",520,25290
"Gachalá",521,25293
"Gachancipá",522,25295
"Gachetá",523,25297
"Gama",524,25299
"Girardot",525,25307
"Guachetá",526,25317
"Guaduas",527,25320
"Guasca",528,25322
"Guataquí",529,25324
"Guatavita",530,25326
"Guayabal de Síquima",531,25328
"Guayabetal",532,25335
"Gutiérrez",533,25339
"Jerusalén",534,25368
"Junín",535,25372
"La Calera",536,25377
"La Mesa",537,25386
"La Palma",538,25394
"La Peña",539,25398
"La Vega",540,19397
"Lenguazaque",541,25407
"Machetá",542,25426
"Madrid",543,25430
"Manta",544,25436
"Medina",545,25438
"Mosquera",546,25473
"Nariño",547,5483
"Nemocón",548,25486
"Nilo",549,25488
"Nimaima",550,25489
"Nocaima",551,25491
"Pacho",552,25513
"Paime",553,25518
"Pandi",554,25524
"Paratebueno",555,25530
"Pasca",556,25535
"Puerto Salgar",557,25572
"Pulí",558,25580
"Quebradanegra",559,25592
"Quetame",560,25594
"Quipile",561,25596
"Ricaurte",562,25612
"San Antonio del Tequendama",563,25645
"San Bernardo",564,25649
"San Cayetano",565,25653
"San Francisco",566,5652
"San Juan de Río Seco",567,NA
"Santafé de Bogotá",568,NA
"Sasaima",569,25718
"Sesquilé",570,25736
"Sibaté",571,25740
"Silvania",572,25743
"Simijaca",573,25745
"Soacha",574,25754
"Sopó",575,25758
"Subachoque",576,25769
"Suesca",577,25772
"Supatá",578,25777
"Susa",579,25779
"Sutatausa",580,25781
"Tabio",581,25785
"Tausa",582,25793
"Tena",583,25797
"Tenjo",584,25799
"Tibacuy",585,25805
"Tibirita",586,25807
"Tocaima",587,25815
"Tocancipá",588,25817
"Topaipí",589,25823
"Ubalá",590,25839
"Ubaque",591,25841
"Une",592,25845
"Utica",593,NA
"Venecia",594,5861
"Vergara",595,25862
"Vianí",596,25867
"Villa de San Diego de Ubaté",597,25843
"Villagómez",598,25871
"Villapinzón",599,25873
"Villeta",600,25875
"Viotá",601,25878
"Yacopí",602,25885
"Zipacón",603,25898
"Zipaquirá",604,25899
"Barranco Minas",605,94343
"Cacahual",606,94886
"La Guadalupe",607,94885
"Pana Pana",608,94887
"Puerto Colombia",609,8573
"Puerto Inírida",610,NA
"San Felipe",611,94883
"Calamar",612,13140
"El Retorno",613,95025
"Miraflores",614,15455
"San José del Guaviare",615,95001
"Acevedo",616,41006
"Agrado",617,41013
"Aipe",618,41016
"Algeciras",619,41020
"Altamira",620,41026
"Baraya",621,41078
"Campoalegre",622,41132
"Colombia",623,41206
"Elías",624,41244
"Garzón",625,41298
"Gigante",626,41306
"Guadalupe",627,5315
"Hobo",628,41349
"Iquira",629,NA
"Isnos",630,41359
"La Argentina",631,41378
"La Plata",632,41396
"Nátaga",633,41483
"Neiva",634,41001
"Oporapa",635,41503
"Paicol",636,41518
"Palermo",637,41524
"Palestina",638,17524
"Pitalito",639,41551
"Pital",640,41548
"Rivera",641,41615
"Saladoblanco",642,41660
"San Agustín",643,41668
"Santa María",644,15690
"Suaza",645,41770
"Tarquí",646,NA
"Tello",647,41799
"Teruel",648,41801
"Tesalia",649,41797
"Timaná",650,41807
"Villavieja",651,41872
"Yaguará",652,41885
"Barrancas",653,44078
"El Molino",654,44110
"Fonseca",655,44279
"Maicao",656,44430
"Manaure",657,44560
"Riohacha",658,44001
"San Juan del Cesar",659,44650
"Uribia",660,44847
"Urumita",661,44855
"Villanueva",662,13873
"Aracataca",663,47053
"Ariguaní",664,47058
"Cerro de San Antonio",665,47161
"Chivolo",666,47170
"Ciénaga",667,47189
"El Banco",668,47245
"El Piñón",669,47258
"Fundación",670,47288
"Guamal",671,47318
"Pedraza",672,47541
"Pivijay",673,47551
"Plato",674,47555
"Pueblo Viejo",675,NA
"Remolino",676,47605
"Salamina",677,17653
"San Sebastián de Buenavista",678,47692
"San Zenón",679,47703
"Santa Ana",680,47707
"Santa Marta (Dist. Esp.)",681,NA
"Tenerife",682,47798
"Acacías",683,50006
"Barranca de Upía",684,50110
"Cabuyaro",685,50124
"Castilla la Nueva",686,50150
"Cumaral",687,50226
"El Calvario",688,50245
"El Castillo",689,50251
"El Dorado",690,50270
"Fuente de Oro",691,50287
"Granada",692,5313
"Guamal",693,47318
"La Macarena",694,50350
"La Uribe",695,NA
"Lejanías",696,50400
"Mapiripán",697,50325
"Mesetas",698,50330
"Puerto Concordia",699,50450
"Puerto Gaitán",700,50568
"Puerto López",701,50573
"Puerto Lleras",702,50577
"Puerto Rico",703,18592
"Restrepo",704,50606
"San Carlos de Guaroa",705,50680
"San Juan de Arama",706,50683
"San Juanito",707,50686
"San Luis de Cubarral",708,50223
"San Martín",709,20770
"Villavicencio",710,50001
"Vista Hermosa",711,NA
"Albán",712,25019
"Aldana",713,52022
"Ancuyá",714,52036
"Arboleda",715,52051
"Barbacoas",716,52079
"Belén",717,15087
"Buesaco",718,52110
"Córdoba",719,13212
"Chachagüí",720,52240
"Colón",721,52203
"Consacá",722,52207
"Contadero",723,52210
"Cuaspud",724,NA
"Cumbal",725,52227
"Cumbitara",726,52233
"El Charco",727,52250
"El Rosario",728,52256
"El Tablón de Gomez",729,NA
"El Tambo",730,19256
"Francisco Pizarro",731,52520
"Funes",732,52287
"Guachucal",733,52317
"Guaitarilla",734,52320
"Gualmatán",735,52323
"Iles",736,52352
"Imués",737,52354
"Ipiales",738,52356
"La Cruz",739,52378
"La Florida",740,52381
"La Llanada",741,52385
"La Tola",742,52390
"La Unión de Sucre",743,NA
"Leiva",744,52405
"Linares",745,52411
"Los Andes",746,52418
"Magüí",747,52427
"Mallama",748,52435
"Mosquera",749,25473
"Olaya Herrera",750,52490
"Ospina",751,52506
"Policarpa",752,52540
"Potosí",753,52560
"Providencia",754,52565
"Puerres",755,52573
"Pupiales",756,52585
"Ricaurte",757,25612
"Roberto Payán",758,52621
"Samaniego",759,52678
"San Bernardo",760,25649
"San Juan de Pasto",761,NA
"San Lorenzo",762,52687
"San Pablo",763,13670
"San Pedro de Cartago",764,52694
"Sandoná",765,52683
"Santa Bárbara",766,5679
"Santa Cruz",767,NA
"Sapuyes",768,52720
"Taminango",769,52786
"Tangua",770,52788
"Túquerres",771,52838
"Tumaco",772,NA
"Yacuanquer",773,52885
"Abrego",774,NA
"Arboledas",775,54051
"Bochalema",776,54099
"Bucarasica",777,54109
"Cáchira",778,54128
"Cácota",779,54125
"Chinácota",780,54172
"Chitagá",781,54174
"Convención",782,54206
"Cucutilla",783,54223
"Durania",784,54239
"El Carmen",785,54245
"El Tarra",786,54250
"El Zulia",787,54261
"Gramalote",788,54313
"Hacarí",789,54344
"Herrán",790,54347
"La Esperanza",791,54385
"La Playa de Belén",792,NA
"Labateca",793,54377
"Los Patios",794,54405
"Lourdes",795,54418
"Mutiscua",796,54480
"Ocaña",797,54498
"Pamplona",798,54518
"Pamplonita",799,54520
"Puerto Santander",800,54553
"Ragonvalia",801,54599
"Salazar de las Palmas",802,NA
"San Calixto",803,54670
"San Cayetano",804,25653
"San José de Cúcuta",805,NA
"Santiago",806,54680
"Santo Domingo de Silos",807,NA
"Sardinata",808,54720
"Teorama",809,54800
"Tibú",810,54810
"Toledo",811,5819
"Villa Caro",812,54871
"Villa del Rosario",813,54874
"Colón",814,52203
"Orito",815,86320
